ID;SKU;Name;Published;Short description;description;In stock?;Stock;Categories
1858;WP13;Portia Capri;1;This is a variable product called a Portia Capri;"From yoga at dawn to evenings curled up with a book, our Portia Capri gives you the comfort and freedom to cruise through the day. The high-waisted design keeps you covered while you're bending and stretching, while contrast stripes promise a dash of sporty style.
 Salmon heather capri sweats. Relaxed fit, high waist.  Inseam: 21"".  Wide elastic waistband.  Machine wash/dry.";1;49;Clothing>Women>Bottoms>Pants>Promotions>Pants>Collections>Erin Recommends
1874;WSH01;Fiona Fitness Short;1;This is a variable product called a Fiona Fitness Short;"Don't let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.
 Black run shorts - cotton/spandex. 5 inseam. Machine wash/Line dry.";1;29;Clothing>Women>Bottoms>Shorts>Collections>New Luma Yoga Collection>Collections>Eco Friendly
1890;WSH02;Maxima Drawstring Short;1;This is a variable product called a Maxima Drawstring Short;"Even laid-back women like to stay stylish, and that's just what the Maxima Drawstring Short delivers. An elastic waist keeps the fit flexible, on the deck at home or on a trail walk. Sporty tennis flair adds an athletic accent.
 Light gray run shorts - cotton polyester.  Contrast binding.  3"" inseam.  Machine wash/dry.";1;28;Clothing>Women>Bottoms>Shorts>Promotions>Women Sale
1906;WSH03;Gwen Drawstring Bike Short;1;This is a variable product called a Gwen Drawstring Bike Short;"For a completely modern style with moisture-wicking CoolTech technology, try the Gwen Drawstring Bike Short. Subtle grays and eye catching stitching combine with an adjustable waist for the perfect look and fit.
 Dark heather gray rouched bike shorts. Fitted. Inseam: 2"".  Machine wash/dry.";1;50;Clothing>Women>Bottoms>Shorts>Collections>New Luma Yoga Collection>Collections>Performance Fabrics
1922;WSH04;Artemis Running Short;1;This is a variable product called a Artemis Running Short;"Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme features a stretchy drawstring waist.
 Black rouched shorts with mint waist.  Soft, lightweight construction. LumaTech wicking technology. Semi-fitted.";1;45;Clothing>Women>Bottoms>Shorts
1938;WSH05;Bess Yoga Short;1;This is a variable product called a Bess Yoga Short;"Designed for intense physical activity  think bikram  our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.
 Navy cotton shorts with light bue waist detail. Front shirred waistband. Flat-lock, chafe-free side seams. Vented gusset. Hidden interior pocket. Sustainable and recycled fabric.";1;28;Clothing>Women>Bottoms>Shorts>Promotions>Women Sale
1945;WSH06;Angel Light Running Short;1;This is a variable product called a Angel Light Running Short;"The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona performance technology, it can whisk away sweat and block UV rays.
 Dark heather gray running shorts. Snug fit.  Elastic waistband.  Cocona performance fabric.  Machine wash/dry.";1;42;Clothing>Women>Bottoms>Shorts
1952;WSH07;Echo Fit Compression Short;1;This is a variable product called a Echo Fit Compression Short;"Your muscles know it's go time the second you pull on the Echo Fit Compression Short. A balance of firm, stimulating squeeze with breathability, it offers the support and comfort you need to give it your all.
 Black compression shorts. High-waisted cut. Compression fit. Inseam: 1.0"".  Machine wash/dry.";1;24;Clothing>Women>Bottoms>Shorts>Collections>New Luma Yoga Collection
1958;WSH08;Sybil Running Short;1;This is a variable product called a Sybil Running Short;"Fortunately, it's okay to look cute while you're working out. The Sybil Running Short combines a fun, color-blocked design with breathable mesh fabric for sporty-fun style.
 Blue running shorts with green waist. Drawstring-adjustable waist. 4"" inseam. Machine wash/line dry.";1;44;Clothing>Women>Bottoms>Shorts>Collections>Performance Fabrics
1965;WSH09;Mimi All-Purpose Short;1;This is a variable product called a Mimi All-Purpose Short;"You can run, bike or swim in the do-anything, water-resistance Mimi Short. No need to worry about rubbing-induced soreness either, with flatlock seams and soft, chafe-resistant material.
 Gray/seafoam two-layer shorts. Water-resistant construction. Inner mesh brief for breathable support. 2.0"" inseam. Reflective trim for visibility.";1;44;Clothing>Women>Bottoms>Shorts
1972;WSH10;Ana Running Short;1;This is a variable product called a Ana Running Short;"Time to lace up your kicks and beat that personal best in the Ana Running Short. It's designed with breathable mesh side panels to help keep you cool while you master the miles.
 Black/pink two-layer shorts. Low-rise elastic waistband. Relaxed fit.  Ultra-lightweight fabric.  Internal drawstring.  Machine wash/dry.";1;40;Clothing>Women>Bottoms>Shorts>Collections>Eco Friendly
1979;WSH11;Ina Compression Short;1;This is a variable product called a Ina Compression Short;"One of Luma's most popular items, the Ina Compression Short has you covered with exceptional support and comfort, whether you're running the trail, riding a bike or ripping out reps. The ventilating fabric offers cool relief and prevents irritating chafing.
 Royal blue bike shorts. Compression fit.  Moisture-wicking.  Anti-microbial.  Machine wash/dry.";1;49;Clothing>Women>Bottoms>Shorts>Collections>Erin Recommends
2000;WSH12;Erika Running Short;1;This is a variable product called Erika Running Shorts;"A great short with a body-hugging design, the Erika Running Short is perfect for runners who prefer a fitted short rather than the traditional baggy variety.
 Seafoam pattern running shorts. Elastic waistband. Snug fit. 4'' inseam. 76% premium brushed Nylon / 24% Spandex.";1;49;Clothing>Women>Bottoms>Shorts>Collections>Erin Recommends
2001;24-MG04;Aim Analog Watch;1;This is a simple product called Aim Analog Watch;"Stay light-years ahead of the competition with our Aim Analog Watch. The flexible, rubberized strap is contoured to conform to the shape of your wrist for a comfortable all-day fit. The face features three illuminated hands, a digital read-out of the current time, and stopwatch functions.

Japanese quartz movement.
Strap fits 7"" to 8.0"".
";1;45;Gear>Watches
2002;24-MG01;Endurance Watch;1;This is a simple product called Endurance Watch;"It's easy to track and monitor your training progress with the Endurance Watch. You'll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.

Digital display.
LED backlight.
Strap fits 7"" to 10"".
1-year limited warranty.
Comes with polished metal case.
";1;49;Gear>Watches
2003;24-MG03;Summit Watch;1;This is a simple product called Summit Watch;"Trek high and low in the attractive Summit Watch, which features a digital LED display with time and date, stopwatch, lap counter, and 3-second backlight. It can also calculate the number of steps taken and calories burned.

Brushed metal case.
Water resistant (100 meters).
Buckle clasp.
Strap fits 7"" - 10"".
1-year limited warranty.
";1;54;Gear>Watches>New Luma Yoga Collection
2004;24-MG05;Cruise Dual Analog Watch;1;This is a simple product called Cruise Dual Analog Watch;"Whether you're traveling or wish you were, you'll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.

Two dials.
Stainless steel case.
Adjustable leather band.
";1;55;Gear>Watches>New Luma Yoga Collection
2005;24-MG02;Dash Digital Watch;1;This is a simple product called Dash Digital Watch;"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.

Digital display.
LED backlight.
Rubber strap with buckle clasp.
1-year limited warranty.";1;92;Gear>Watches>New Luma Yoga Collection
2006;24-WG09;Luma Analog Watch;1;This is a simple product called Luma Analog Watch;"Designed to stand up to your active lifestyle, this women's Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.

Precision Miyota three-hand movement.
";1;43;Gear>Watches
2007;24-WG01;Bolo Sport Watch;1;This is a simple product called Bolo Sport Watch;"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.

Displays time, day and date.
Two-tone design.
12/24 hour formats.
Nickel-free buckle on band.
Battery included.
";1;49;Gear>Watches
2008;24-WG03;Clamber Watch;1;This is a simple product called Clamber Watch;"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.

Japanese quartz movement.
Strap fits 5"" to 6.0"".
";1;54;Gear>Watches
2009;24-WG02;Didi Sport Watch;1;This is a simple product called Didi Sport Watch;"The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.

Digital display.
LED backlight.
Rubber strap with buckle clasp.
1-year limited warranty.
";1;92;Gear>Watches>New Luma Yoga Collection
2010;24-WG085;Sprite Yoga Strap 6 foot;1;This is a simple product called Sprite Yoga Strap 6 foot;"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.

100% soft and durable cotton.
Plastic cinch buckle is easy to use.
Three natural colors made from phthalate and heavy metal free dyes.
";1;14;Gear>Fitness Equipment
2011;24-WG086;Sprite Yoga Strap 8 foot;1;This is a simple product called Sprite Yoga Strap 8 foot;"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.

8' long x 1.0"" wide.
100% soft and durable cotton.
Plastic cinch buckle is easy to use.
Three natural colors made from phthalate and heavy metal free dyes.
";1;17;Gear>Fitness Equipment
2012;24-WG087;Sprite Yoga Strap 10 foot;1;This is a simple product called Sprite Yoga Strap 10 foot;"The Sprite Yoga Strap is your untiring partner in demanding stretches, holds and alignment routines. The strap's 100% organic cotton fabric is woven tightly to form a soft, textured yet non-slip surface. The plastic clasp buckle is easily adjustable, lightweight and durable under strain.

10' long x 1.0"" wide.
100% soft and durable cotton.
Plastic cinch buckle is easy to use.
Three natural colors made from phthalate and heavy metal free dyes.
";1;21;Gear>Fitness Equipment
2013;24-WG081-gray;Sprite Stasis Ball 55 cm;1;This is a simple product called Sprite Stasis Ball 55 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

Durable, burst-resistant design.
Hand pump included.
";1;23;Gear>Fitness Equipment
2014;24-WG081-pink;Sprite Stasis Ball 55 cm;1;This is a simple product called Sprite Stasis Ball 55 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

Durable, burst-resistant design.
Hand pump included.
";1;23;Gear>Fitness Equipment
2015;24-WG081-blue;Sprite Stasis Ball 55 cm;1;This is a simple product called Sprite Stasis Ball 55 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

Durable, burst-resistant design.
Hand pump included.
";1;23;Gear>Fitness Equipment
2016;24-WG082-gray;Sprite Stasis Ball 65 cm;1;This is a simple product called Sprite Stasis Ball 65 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

65 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.
";1;27;Gear>Fitness Equipment
2017;24-WG082-pink;Sprite Stasis Ball 65 cm;1;This is a simple product called Sprite Stasis Ball 65 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

65 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.
";1;27;Gear>Fitness Equipment
2018;24-WG082-blue;Sprite Stasis Ball 65 cm;1;This is a simple product called Sprite Stasis Ball 65 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

65 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.
";1;27;Gear>Fitness Equipment
2019;24-WG083-gray;Sprite Stasis Ball 75 cm;1;This is a simple product called Sprite Stasis Ball 75 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

75 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.
";1;32;Gear>Fitness Equipment
2020;24-WG083-pink;Sprite Stasis Ball 75 cm;1;This is a simple product called Sprite Stasis Ball 75 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

75 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.
";1;32;Gear>Fitness Equipment
2021;24-WG083-blue;Sprite Stasis Ball 75 cm;1;This is a simple product called Sprite Stasis Ball 75 cm;"The Sprite Stasis Ball gives you the toned abs, sides, and back you want by amping up your core workout. With bright colors and a burst-resistant design, it's a must-have for every hard-core exercise addict. Use for abdominal conditioning, balance training, yoga, or even physical therapy.

75 cm plastic shell.
Durable, burst-resistant design.
Hand pump included.
";1;32;Gear>Fitness Equipment
2022;24-UG06;Affirm Water Bottle ;1;This is a simple product called Affirm Water Bottle ;"You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.

Made of plastic.
Grooved sides for an easy grip.
";1;7;Gear>Fitness Equipment
2023;24-UG07;Dual Handle Cardio Ball;1;This is a simple product called Dual Handle Cardio Ball;"Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.

Durable plastic shell with sand fill.
Two handles.
15 lbs.
";1;12;Gear>Fitness Equipment>Erin Recommends
2024;24-UG04;Zing Jump Rope;1;This is a simple product called Zing Jump Rope;"One of the world's simplest and most portable exercise devices, a jump rope enables endless variations and fitness output. The Zing Jump Rope goes anywhere and can be used any time. It is adjustable in length and has contoured foam handles for a great grip.

 Contoured foam handles.
 Adjustable length.
";1;12;Gear>Fitness Equipment
2025;24-UG02;Pursuit Lumaflex Tone Band;1;This is a simple product called Pursuit Lumaflex Tone Band;"Save your knees and joints while strengthening arms, legs and core with the Pursuit Lumaflex Tone Band. This ultra-durable training tool lets you complete a full-body workout free of bulky machines or free weights.

Home and/or gym use.
Ergonomic handles.
";1;16;Gear>Fitness Equipment
2026;24-UG05;Go-Get'r Pushup Grips;1;This is a simple product called Go-Get'r Pushup Grips;"The Go-Get'r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.

Durable foam grips.
Supportive base.
";1;19;Gear>Fitness Equipment>New Luma Yoga Collection
2027;24-UG01;Quest Lumaflex Band;1;This is a simple product called Quest Lumaflex Band;"From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You'll love the extra comfort of its grippy handles and adjustable design.

Adjusts from 30"" to 55"".
Grippy comfort handles.
Stretchy rubber construction.
";1;19;Gear>Fitness Equipment
2028;24-WG084;Sprite Foam Yoga Brick;1;This is a simple product called Sprite Foam Yoga Brick;"Our top-selling yoga prop, the 4-inch, high-quality Sprite Foam Yoga Brick is popular among yoga novices and studio professionals alike. An essential yoga accessory, the yoga brick is a critical tool for finding balance and alignment in many common yoga poses. Choose from 5 color options.

Standard Large Size: 4"" x 6"" x 9"".
Beveled edges for ideal contour grip.
Durable and soft, scratch-proof foam.
Individually wrapped.
Ten color choices.
 ";1;5;Gear>Fitness Equipment
2029;24-WG088;Sprite Foam Roller;1;This is a simple product called Sprite Foam Roller;"It hurts so good to use the Sprite Foam Roller on achy, tired muscles for myofascial massage therapy. Or you can add this fundamental piece to your Pilates and yoga accouterment, or apply towards core stability, strengthening and balance exercise. 

6'' wide by 12'' long.
Safe for myofascial release.
EPP or PE foam options.
Solid, dense, closed-cell foam.
";1;19;Gear>Fitness Equipment
2030;24-UG03;Harmony Lumaflex Strength Band Kit ;1;This is a simple product called Harmony Lumaflex Strength Band Kit ;"Forget fancy machines and costly memberships - the Harmony Lumaflex Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.

Three flex bands.
Textured, ergonomic grips.
Adjustable lengths.
Mesh carry bag included.
";1;22;Gear>Fitness Equipment
2031;24-MB01;Joust Duffle Bag;1;This is a simple product called Joust Duffle Bag;"The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.

Dual top handles.
Adjustable shoulder strap.
Full-length zipper.
L 29"" x W 13"" x H 11"".
";1;34;Gear>Bags
2032;24-MB04;Strive Shoulder Pack;1;This is a simple product called Strive Shoulder Pack;"Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.

Zippered main compartment.
Front zippered pocket.
Side mesh pocket.
Cell phone pocket on strap.
Adjustable shoulder strap and top carry handle.
";1;32;Gear>Bags>Erin Recommends
2033;24-MB03;Crown Summit Backpack;1;This is a simple product called Crown Summit Backpack;"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.

Top handle.
Grommet holes.
Two-way zippers.
H 20"" x W 14"" x D 12"".
Weight: 2 lbs, 8 oz. Volume: 29 L.
";1;38;Gear>Bags
2034;24-MB05;Wayfarer Messenger Bag;1;This is a simple product called Wayfarer Messenger Bag;"Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.

Multiple internal zip pockets.
Made of durable nylon.
";1;45;Gear>Bags>New Luma Yoga Collection
2035;24-MB06;Rival Field Messenger;1;This is a simple product called Rival Field Messenger;"The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.

Leather construction.
Adjustable fabric carry strap.
Dimensions: 18"" x 10"" x 4"".
";1;45;Gear>Bags>New Luma Yoga Collection
2036;24-MB02;Fusion Backpack;1;This is a simple product called Fusion Backpack;"With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.

Durable nylon construction.
2 main zippered compartments.
1 exterior zippered pocket.
Mesh side pouches.
Padded, adjustable straps.
Top carry handle.
Dimensions: 18"" x 10"" x 6"".
";1;59;Gear>Bags
2037;24-UB02;Impulse Duffle;1;This is a simple product called Impulse Duffle;"Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.

Wheeled.
Dual carry handles.
Retractable top handle.
W 14"" x H 26"" x D 11"".
";1;74;Gear>Bags
2038;24-WB01;Voyage Yoga Bag;1;This is a simple product called Voyage Yoga Bag;"Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.

Slip pocket on front.
Contrast piping.
Durable nylon construction.
";1;32;Gear>Bags
2039;24-WB02;Compete Track Tote;1;This is a simple product called Compete Track Tote;"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.

Two-way zippers.
Contrast detailing.
W 22.0"" x H 17"" x D 10"".
";1;32;Gear>Bags
2040;24-WB05;Savvy Shoulder Tote;1;This is a simple product called Savvy Shoulder Tote;"Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.

Water-resistant shell.
Water bottle pocket.
Padded, articulating shoulder strap.
Dimensions: W 21"" x H 15"" x D 10"".
";1;32;Gear>Bags>Erin Recommends
2041;24-WB06;Endeavor Daytrip Backpack;1;This is a simple product called Endeavor Daytrip Backpack;"With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.

Foam-padded adjustable shoulder straps.
900D polyester.
Oversized zippers.
Locker loop.
";1;33;Gear>Bags>Erin Recommends
2042;24-WB03;Driven Backpack;1;This is a simple product called Driven Backpack;"School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.

Large main and small zip compartments.
Adjustable, padded straps.
Interior foam pockets.
Exterior zip compartment.
Left sport bottle pocket.
Survival gear sold separately.
";1;36;Gear>Bags
2043;24-WB07;Overnight Duffle;1;This is a simple product called Overnight Duffle;"For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.

Dual top handles.
W 15"" x H 15"" x D 9"".
";1;45;Gear>Bags>New Luma Yoga Collection
2044;24-WB04;Push It Messenger Bag;1;This is a simple product called Push It Messenger Bag;"The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.

Adjustable crossbody strap.
Top handle.
Zippered interior pocket.
Secure clip closures.
Durable fabric construction.
";1;45;Gear>Bags>Performance Fabrics
